model,alpha,condition,coverage_target,baseline_accuracy,combined_accuracy,confidence_accuracy,combined_coverage,confidence_coverage,combined_gain_vs_baseline_pp,confidence_gain_vs_baseline_pp,lift_over_confidence_pp,source,source_path
llama3.1-8b,0.25,IC,0.75,0.33152173913043476,0.32857142857142857,0.30714285714285716,0.7608695652173914,0.7608695652173914,-0.2950310559006186,-2.4378881987577596,2.1428571428571406,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/llama3.1-8b_conflict_prediction_alpha_0p25.json
llama3.1-8b,0.25,IC,0.5,0.33152173913043476,0.4065934065934066,0.31521739130434784,0.4945652173913043,0.5,7.507166746297184,-1.6304347826086918,9.137601528905876,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/llama3.1-8b_conflict_prediction_alpha_0p25.json
llama3.1-8b,0.25,IC,0.25,0.33152173913043476,0.6666666666666666,0.30434782608695654,0.24456521739130435,0.25,33.51449275362319,-2.7173913043478217,36.23188405797101,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/llama3.1-8b_conflict_prediction_alpha_0p25.json
llama3.1-8b,0.25,ICC,0.75,0.6032608695652174,0.6666666666666666,0.6408450704225352,0.7663043478260869,0.7717391304347826,6.340579710144922,3.758420085731784,2.5821596244131384,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/llama3.1-8b_conflict_prediction_alpha_0p25.json
llama3.1-8b,0.25,ICC,0.5,0.6032608695652174,0.8,0.6777777777777778,0.4891304347826087,0.4891304347826087,19.673913043478265,7.45169082125604,12.222222222222223,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/llama3.1-8b_conflict_prediction_alpha_0p25.json
llama3.1-8b,0.25,ICC,0.25,0.6032608695652174,0.8823529411764706,0.7843137254901961,0.27717391304347827,0.27717391304347827,27.909207161125316,18.105285592497864,9.80392156862745,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/llama3.1-8b_conflict_prediction_alpha_0p25.json
meditron3-8b,0.25,IC,0.75,0.3695652173913043,0.4148148148148148,0.37777777777777777,0.7336956521739131,0.7336956521739131,4.524959742351048,0.8212560386473444,3.7037037037037033,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/meditron3-8b_conflict_prediction_alpha_0p25.json
meditron3-8b,0.25,IC,0.5,0.3695652173913043,0.4787234042553192,0.35789473684210527,0.5108695652173914,0.5163043478260869,10.915818686401485,-1.1670480549199058,12.082866741321391,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/meditron3-8b_conflict_prediction_alpha_0p25.json
meditron3-8b,0.25,IC,0.25,0.3695652173913043,0.65,0.275,0.21739130434782608,0.21739130434782608,28.04347826086957,-9.45652173913043,37.5,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/meditron3-8b_conflict_prediction_alpha_0p25.json
meditron3-8b,0.25,ICC,0.75,0.6902173913043478,0.7586206896551724,0.7534246575342466,0.7880434782608695,0.7934782608695652,6.840329835082459,6.320726622989881,0.5196032120925786,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/meditron3-8b_conflict_prediction_alpha_0p25.json
meditron3-8b,0.25,ICC,0.5,0.6902173913043478,0.8522727272727273,0.7752808988764045,0.4782608695652174,0.483695652173913,16.205533596837952,8.506350757205672,7.699182839632279,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/meditron3-8b_conflict_prediction_alpha_0p25.json
meditron3-8b,0.25,ICC,0.25,0.6902173913043478,0.975609756097561,0.7906976744186046,0.22282608695652173,0.23369565217391305,28.539236479321318,10.048028311425682,18.491208167895635,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/meditron3-8b_conflict_prediction_alpha_0p25.json
phi4-14b,0.25,IC,0.75,0.44565217391304346,0.4672131147540984,0.4180327868852459,0.6630434782608695,0.6630434782608695,2.156094084105492,-2.7619387027797537,4.918032786885246,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/phi4-14b_conflict_prediction_alpha_0p25.json
phi4-14b,0.25,IC,0.5,0.44565217391304346,0.5882352941176471,0.4117647058823529,0.46195652173913043,0.46195652173913043,14.258312020460362,-3.3887468030690537,17.647058823529417,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/phi4-14b_conflict_prediction_alpha_0p25.json
phi4-14b,0.25,IC,0.25,0.44565217391304346,0.8064516129032258,0.3387096774193548,0.16847826086956522,0.33695652173913043,36.07994389901823,-10.694249649368864,46.774193548387096,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/phi4-14b_conflict_prediction_alpha_0p25.json
phi4-14b,0.25,ICC,0.75,0.6413043478260869,0.7388059701492538,0.6865671641791045,0.7282608695652174,0.7282608695652174,9.750162232316683,4.526281635301754,5.223880597014929,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/phi4-14b_conflict_prediction_alpha_0p25.json
phi4-14b,0.25,ICC,0.5,0.6413043478260869,0.8705882352941177,0.6588235294117647,0.46195652173913043,0.46195652173913043,22.928388746803073,1.7519181585677779,21.176470588235297,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/phi4-14b_conflict_prediction_alpha_0p25.json
phi4-14b,0.25,ICC,0.25,0.6413043478260869,0.8367346938775511,0.6557377049180327,0.266304347826087,0.33152173913043476,19.543034605146413,1.443335709194582,18.099698895951832,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/phi4-14b_conflict_prediction_alpha_0p25.json
qwen3-4b,0.25,IC,0.75,0.41847826086956524,0.4305555555555556,0.3472222222222222,0.782608695652174,0.782608695652174,1.2077294685990336,-7.125603864734304,8.333333333333337,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3-4b_conflict_prediction_alpha_0p25.json
qwen3-4b,0.25,IC,0.5,0.41847826086956524,0.5747126436781609,0.3472222222222222,0.47282608695652173,0.782608695652174,15.623438280859563,-7.125603864734304,22.74904214559387,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3-4b_conflict_prediction_alpha_0p25.json
qwen3-4b,0.25,IC,0.25,0.41847826086956524,0.6666666666666666,0.3472222222222222,0.2608695652173913,0.782608695652174,24.818840579710137,-7.125603864734304,31.944444444444443,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3-4b_conflict_prediction_alpha_0p25.json
qwen3-4b,0.25,ICC,0.75,0.717391304347826,0.7972972972972973,0.7635135135135135,0.8043478260869565,0.8043478260869565,7.9905992949471205,4.612220916568743,3.378378378378377,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3-4b_conflict_prediction_alpha_0p25.json
qwen3-4b,0.25,ICC,0.5,0.717391304347826,0.891566265060241,0.7720588235294118,0.45108695652173914,0.7391304347826086,17.41749607124149,5.466751918158574,11.950744153082915,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3-4b_conflict_prediction_alpha_0p25.json
qwen3-4b,0.25,ICC,0.25,0.717391304347826,0.9743589743589743,0.7720588235294118,0.21195652173913043,0.7391304347826086,25.69676700111483,5.466751918158574,20.230015082956253,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3-4b_conflict_prediction_alpha_0p25.json
qwen3-8b,0.25,IC,0.75,0.5434782608695652,0.6470588235294118,0.5514705882352942,0.7391304347826086,0.7391304347826086,10.358056265984661,0.7992327365728968,9.558823529411764,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3-8b_conflict_prediction_alpha_0p25.json
qwen3-8b,0.25,IC,0.5,0.5434782608695652,0.7608695652173914,0.594059405940594,0.5,0.5489130434782609,21.739130434782616,5.058114507102884,16.68101592767973,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3-8b_conflict_prediction_alpha_0p25.json
qwen3-8b,0.25,IC,0.25,0.5434782608695652,0.8048780487804879,0.5977011494252874,0.22282608695652173,0.47282608695652173,26.13997879109227,5.422288855572221,20.717689935520045,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3-8b_conflict_prediction_alpha_0p25.json
qwen3-8b,0.25,ICC,0.75,0.7663043478260869,0.8767123287671232,0.815068493150685,0.7934782608695652,0.7934782608695652,11.040798094103632,4.876414532459805,6.164383561643827,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3-8b_conflict_prediction_alpha_0p25.json
qwen3-8b,0.25,ICC,0.5,0.7663043478260869,0.9611650485436893,0.8512396694214877,0.5597826086956522,0.657608695652174,19.486070071760242,8.493532159540074,10.992537912220168,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3-8b_conflict_prediction_alpha_0p25.json
qwen3-8b,0.25,ICC,0.25,0.7663043478260869,0.9814814814814815,0.8512396694214877,0.29347826086956524,0.657608695652174,21.51771336553946,8.493532159540074,13.024181205999385,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3-8b_conflict_prediction_alpha_0p25.json
qwen3.5-9b,0.25,IC,0.75,0.3695652173913043,0.4108527131782946,0.3488372093023256,0.7010869565217391,0.7010869565217391,4.128749578699026,-2.072800808897873,6.2015503875969,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3.5-9b_conflict_prediction_alpha_0p25.json
qwen3.5-9b,0.25,IC,0.5,0.3695652173913043,0.5394736842105263,0.3950617283950617,0.41304347826086957,0.44021739130434784,16.9908466819222,2.5496511003757383,14.441195581546463,rerun,/home/yikunh2/Uncertainty/results/alpha_sensitivity/qwen3.5-9b_conflict_prediction_alpha_0p25.json
