model,alpha,confidently_wrong_threshold,condition,coverage_target,baseline_accuracy,combined_accuracy,confidence_accuracy,combined_coverage,confidence_coverage,combined_gain_vs_baseline_pp,confidence_gain_vs_baseline_pp,lift_over_confidence_pp,source,source_path
llama3.1-8b,0.5,0.5,IC,0.75,0.33695652173913043,0.35664335664335667,0.3006993006993007,0.7771739130434783,0.7771739130434783,1.9686834904226236,-3.6257221039829757,5.5944055944055995,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\llama3.1-8b_conflict_prediction_confthr_0p5.json
llama3.1-8b,0.5,0.5,IC,0.5,0.33695652173913043,0.5,0.2073170731707317,0.44565217391304346,0.44565217391304346,16.304347826086957,-12.963944856839873,29.268292682926834,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\llama3.1-8b_conflict_prediction_confthr_0p5.json
llama3.1-8b,0.5,0.5,IC,0.25,0.33695652173913043,0.6136363636363636,0.1956521739130435,0.2391304347826087,0.25,27.66798418972332,-14.130434782608695,41.798418972332016,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\llama3.1-8b_conflict_prediction_confthr_0p5.json
llama3.1-8b,0.5,0.5,ICC,0.75,0.6141304347826086,0.6338028169014085,0.5985915492957746,0.7717391304347826,0.7717391304347826,1.9672382118799847,-1.553888548683402,3.5211267605633867,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\llama3.1-8b_conflict_prediction_confthr_0p5.json
llama3.1-8b,0.5,0.5,ICC,0.5,0.6141304347826086,0.7346938775510204,0.6224489795918368,0.532608695652174,0.532608695652174,12.05634427684118,0.8318544809228112,11.22448979591837,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\llama3.1-8b_conflict_prediction_confthr_0p5.json
llama3.1-8b,0.5,0.5,ICC,0.25,0.6141304347826086,0.8936170212765957,0.723404255319149,0.2554347826086957,0.2554347826086957,27.948658649398705,10.927382053654034,17.021276595744673,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\llama3.1-8b_conflict_prediction_confthr_0p5.json
meditron3-8b,0.5,0.5,IC,0.75,0.42391304347826086,0.4444444444444444,0.43703703703703706,0.7336956521739131,0.7336956521739131,2.0531400966183555,1.3123993558776192,0.7407407407407363,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\meditron3-8b_conflict_prediction_confthr_0p5.json
meditron3-8b,0.5,0.5,IC,0.5,0.42391304347826086,0.5783132530120482,0.3855421686746988,0.45108695652173914,0.45108695652173914,15.440020953378731,-3.837087480356205,19.277108433734934,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\meditron3-8b_conflict_prediction_confthr_0p5.json
meditron3-8b,0.5,0.5,IC,0.25,0.42391304347826086,0.6956521739130435,0.3695652173913043,0.25,0.25,27.173913043478258,-5.434782608695654,32.608695652173914,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\meditron3-8b_conflict_prediction_confthr_0p5.json
meditron3-8b,0.5,0.5,ICC,0.75,0.717391304347826,0.8059701492537313,0.8014705882352942,0.7282608695652174,0.7391304347826086,8.857884490590529,8.40792838874681,0.44995610184371815,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\meditron3-8b_conflict_prediction_confthr_0p5.json
meditron3-8b,0.5,0.5,ICC,0.5,0.717391304347826,0.9101123595505618,0.8651685393258427,0.483695652173913,0.483695652173913,19.272105520273573,14.777723497801665,4.49438202247191,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\meditron3-8b_conflict_prediction_confthr_0p5.json
meditron3-8b,0.5,0.5,ICC,0.25,0.717391304347826,1.0,0.8837209302325582,0.22282608695652173,0.23369565217391305,28.260869565217394,16.63296258847321,11.627906976744185,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\meditron3-8b_conflict_prediction_confthr_0p5.json
phi4-14b,0.5,0.5,IC,0.75,0.44565217391304346,0.4888888888888889,0.4264705882352941,0.7336956521739131,0.7391304347826086,4.323671497584542,-1.9181585677749358,6.241830065359477,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\phi4-14b_conflict_prediction_confthr_0p5.json
phi4-14b,0.5,0.5,IC,0.5,0.44565217391304346,0.6739130434782609,0.391304347826087,0.5,0.5,22.826086956521742,-5.434782608695649,28.26086956521739,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\phi4-14b_conflict_prediction_confthr_0p5.json
phi4-14b,0.5,0.5,IC,0.25,0.44565217391304346,0.7924528301886793,0.34615384615384615,0.28804347826086957,0.42391304347826086,34.680065627563586,-9.949832775919731,44.62989840348332,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\phi4-14b_conflict_prediction_confthr_0p5.json
phi4-14b,0.5,0.5,ICC,0.75,0.6521739130434783,0.7338129496402878,0.6690647482014388,0.7554347826086957,0.7554347826086957,8.16390365968095,1.6890835157960526,6.474820143884896,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\phi4-14b_conflict_prediction_confthr_0p5.json
phi4-14b,0.5,0.5,ICC,0.5,0.6521739130434783,0.8125,0.6262626262626263,0.5217391304347826,0.5380434782608695,16.032608695652172,-2.591128678085197,18.62373737373737,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\phi4-14b_conflict_prediction_confthr_0p5.json
phi4-14b,0.5,0.5,ICC,0.25,0.6521739130434783,0.8333333333333334,0.6923076923076923,0.2608695652173913,0.2826086956521739,18.11594202898551,4.013377926421402,14.102564102564108,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\phi4-14b_conflict_prediction_confthr_0p5.json
qwen3-4b,0.5,0.5,IC,0.75,0.41304347826086957,0.4594594594594595,0.38666666666666666,0.8043478260869565,0.8152173913043478,4.641598119858992,-2.637681159420291,7.279279279279283,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p5.json
qwen3-4b,0.5,0.5,IC,0.5,0.41304347826086957,0.5851063829787234,0.38666666666666666,0.5108695652173914,0.8152173913043478,17.206290471785383,-2.637681159420291,19.843971631205676,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p5.json
qwen3-4b,0.5,0.5,IC,0.25,0.41304347826086957,0.7857142857142857,0.38666666666666666,0.22826086956521738,0.8152173913043478,37.267080745341616,-2.637681159420291,39.904761904761905,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p5.json
qwen3-4b,0.5,0.5,ICC,0.75,0.7282608695652174,0.8014184397163121,0.8156028368794326,0.7663043478260869,0.7663043478260869,7.31575701510947,8.734196731421518,-1.4184397163120477,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p5.json
qwen3-4b,0.5,0.5,ICC,0.5,0.7282608695652174,0.8829787234042553,0.8156028368794326,0.5108695652173914,0.7663043478260869,15.471785383903791,8.734196731421518,6.737588652482273,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p5.json
qwen3-4b,0.5,0.5,ICC,0.25,0.7282608695652174,1.0,0.8156028368794326,0.2608695652173913,0.7663043478260869,27.173913043478258,8.734196731421518,18.439716312056742,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p5.json
qwen3-8b,0.5,0.5,IC,0.75,0.5597826086956522,0.6571428571428571,0.5815602836879432,0.7608695652173914,0.7663043478260869,9.736024844720493,2.1777674992290996,7.558257345491393,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p5.json
qwen3-8b,0.5,0.5,IC,0.5,0.5597826086956522,0.7790697674418605,0.5319148936170213,0.4673913043478261,0.5108695652173914,21.92871587462083,-2.786771507863095,24.715487382483925,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p5.json
qwen3-8b,0.5,0.5,IC,0.25,0.5597826086956522,0.8378378378378378,0.5319148936170213,0.20108695652173914,0.5108695652173914,27.80552291421856,-2.786771507863095,30.592294422081658,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p5.json
qwen3-8b,0.5,0.5,ICC,0.75,0.7554347826086957,0.8571428571428571,0.7761194029850746,0.7228260869565217,0.7282608695652174,10.170807453416142,2.068462037637897,8.102345415778245,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p5.json
qwen3-8b,0.5,0.5,ICC,0.5,0.7554347826086957,0.9878048780487805,0.8148148148148148,0.44565217391304346,0.5869565217391305,23.23700954400848,5.938003220611909,17.299006323396572,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p5.json
qwen3-8b,0.5,0.5,ICC,0.25,0.7554347826086957,1.0,0.8148148148148148,0.2391304347826087,0.5869565217391305,24.456521739130434,5.938003220611909,18.518518518518523,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p5.json
qwen3.5-9b,0.5,0.5,IC,0.75,0.3695652173913043,0.4142857142857143,0.3469387755102041,0.7608695652173914,0.7989130434782609,4.472049689440999,-2.2626441881100243,6.734693877551024,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3.5-9b_conflict_prediction_confthr_0p5.json
qwen3.5-9b,0.5,0.5,IC,0.5,0.3695652173913043,0.5652173913043478,0.36363636363636365,0.5,0.5380434782608695,19.565217391304344,-0.5928853754940677,20.158102766798415,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3.5-9b_conflict_prediction_confthr_0p5.json
qwen3.5-9b,0.5,0.5,IC,0.25,0.3695652173913043,0.627906976744186,0.4782608695652174,0.23369565217391305,0.25,25.834175935288172,10.869565217391308,14.964610717896864,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3.5-9b_conflict_prediction_confthr_0p5.json
qwen3.5-9b,0.5,0.5,ICC,0.75,0.8152173913043478,0.8778625954198473,0.8848920863309353,0.7119565217391305,0.7554347826086957,6.264520411549956,6.967469502658751,-0.7029490911087954,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3.5-9b_conflict_prediction_confthr_0p5.json
qwen3.5-9b,0.5,0.5,ICC,0.5,0.8152173913043478,0.967741935483871,0.9468085106382979,0.5054347826086957,0.5108695652173914,15.252454417952322,13.159111933395007,2.0933424845573145,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3.5-9b_conflict_prediction_confthr_0p5.json
qwen3.5-9b,0.5,0.5,ICC,0.25,0.8152173913043478,0.9807692307692307,0.9821428571428571,0.2826086956521739,0.30434782608695654,16.555183946488295,16.69254658385093,-0.13736263736263687,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3.5-9b_conflict_prediction_confthr_0p5.json
llama3.1-8b,0.5,0.6,IC,0.75,0.32608695652173914,0.3893129770992366,0.2595419847328244,0.7119565217391305,0.7119565217391305,6.322602057749749,-6.6544971788914715,12.977099236641221,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\llama3.1-8b_conflict_prediction_confthr_0p6.json
llama3.1-8b,0.5,0.6,IC,0.5,0.32608695652173914,0.550561797752809,0.21348314606741572,0.483695652173913,0.483695652173913,22.447484123106985,-11.260381045432341,33.70786516853933,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\llama3.1-8b_conflict_prediction_confthr_0p6.json
llama3.1-8b,0.5,0.6,IC,0.25,0.32608695652173914,0.6585365853658537,0.24390243902439024,0.22282608695652173,0.22282608695652173,33.24496288441146,-8.21845174973489,41.463414634146346,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\llama3.1-8b_conflict_prediction_confthr_0p6.json
llama3.1-8b,0.5,0.6,ICC,0.75,0.6195652173913043,0.7076923076923077,0.6846153846153846,0.7065217391304348,0.7065217391304348,8.81270903010034,6.50501672240803,2.3076923076923106,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\llama3.1-8b_conflict_prediction_confthr_0p6.json
llama3.1-8b,0.5,0.6,ICC,0.5,0.6195652173913043,0.8089887640449438,0.7303370786516854,0.483695652173913,0.483695652173913,18.942354665363947,11.077186126038107,7.86516853932584,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\llama3.1-8b_conflict_prediction_confthr_0p6.json
llama3.1-8b,0.5,0.6,ICC,0.25,0.6195652173913043,0.9166666666666666,0.75,0.2608695652173913,0.2608695652173913,29.71014492753623,13.043478260869568,16.666666666666664,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\llama3.1-8b_conflict_prediction_confthr_0p6.json
meditron3-8b,0.5,0.6,IC,0.75,0.42391304347826086,0.4928571428571429,0.425531914893617,0.7608695652173914,0.7663043478260869,6.894409937888202,0.161887141535616,6.732522796352586,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\meditron3-8b_conflict_prediction_confthr_0p6.json
meditron3-8b,0.5,0.6,IC,0.5,0.42391304347826086,0.6063829787234043,0.4148936170212766,0.5108695652173914,0.5108695652173914,18.246993524514345,-0.9019426456984281,19.14893617021277,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\meditron3-8b_conflict_prediction_confthr_0p6.json
meditron3-8b,0.5,0.6,IC,0.25,0.42391304347826086,0.7857142857142857,0.38095238095238093,0.22826086956521738,0.22826086956521738,36.18012422360248,-4.296066252587993,40.476190476190474,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\meditron3-8b_conflict_prediction_confthr_0p6.json
meditron3-8b,0.5,0.6,ICC,0.75,0.7010869565217391,0.7928571428571428,0.75177304964539,0.7608695652173914,0.7663043478260869,9.177018633540367,5.068609312365091,4.108409321175277,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\meditron3-8b_conflict_prediction_confthr_0p6.json
meditron3-8b,0.5,0.6,ICC,0.5,0.7010869565217391,0.8913043478260869,0.8260869565217391,0.5,0.5,19.021739130434778,12.5,6.521739130434778,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\meditron3-8b_conflict_prediction_confthr_0p6.json
meditron3-8b,0.5,0.6,ICC,0.25,0.7010869565217391,0.9347826086956522,0.8913043478260869,0.25,0.25,23.369565217391308,19.021739130434778,4.34782608695653,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\meditron3-8b_conflict_prediction_confthr_0p6.json
phi4-14b,0.5,0.6,IC,0.75,0.44565217391304346,0.515625,0.4140625,0.6956521739130435,0.6956521739130435,6.997282608695654,-3.158967391304346,10.15625,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\phi4-14b_conflict_prediction_confthr_0p6.json
phi4-14b,0.5,0.6,IC,0.5,0.44565217391304346,0.725,0.35,0.43478260869565216,0.43478260869565216,27.934782608695652,-9.565217391304348,37.5,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\phi4-14b_conflict_prediction_confthr_0p6.json
phi4-14b,0.5,0.6,IC,0.25,0.44565217391304346,0.8,0.3561643835616438,0.2717391304347826,0.3967391304347826,35.434782608695656,-8.948779035139964,44.38356164383562,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\phi4-14b_conflict_prediction_confthr_0p6.json
phi4-14b,0.5,0.6,ICC,0.75,0.657608695652174,0.7777777777777778,0.7037037037037037,0.7336956521739131,0.7336956521739131,12.016908212560384,4.609500805152978,7.4074074074074066,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\phi4-14b_conflict_prediction_confthr_0p6.json
phi4-14b,0.5,0.6,ICC,0.5,0.657608695652174,0.8351648351648352,0.6989247311827957,0.4945652173913043,0.5054347826086957,17.755613951266124,4.131603553062179,13.624010398203945,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\phi4-14b_conflict_prediction_confthr_0p6.json
phi4-14b,0.5,0.6,ICC,0.25,0.657608695652174,0.9230769230769231,0.7258064516129032,0.2826086956521739,0.33695652173913043,26.54682274247492,6.81977559607293,19.727047146401986,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\phi4-14b_conflict_prediction_confthr_0p6.json
qwen3-4b,0.5,0.6,IC,0.75,0.41304347826086957,0.4391891891891892,0.3933333333333333,0.8043478260869565,0.8152173913043478,2.614571092831963,-1.9710144927536255,4.585585585585589,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p6.json
qwen3-4b,0.5,0.6,IC,0.5,0.41304347826086957,0.5670103092783505,0.37410071942446044,0.5271739130434783,0.7554347826086957,15.396683101748094,-3.894275883640913,19.290958985389008,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p6.json
qwen3-4b,0.5,0.6,IC,0.25,0.41304347826086957,0.75,0.37410071942446044,0.2391304347826087,0.7554347826086957,33.69565217391305,-3.894275883640913,37.589928057553955,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p6.json
qwen3-4b,0.5,0.6,ICC,0.75,0.7228260869565217,0.8308823529411765,0.7891156462585034,0.7391304347826086,0.7989130434782609,10.805626598465478,6.628955930198166,4.176670668267313,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p6.json
qwen3-4b,0.5,0.6,ICC,0.5,0.7228260869565217,0.8969072164948454,0.8045112781954887,0.5271739130434783,0.7228260869565217,17.408112953832365,8.1685191238967,9.239593829935666,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p6.json
qwen3-4b,0.5,0.6,ICC,0.25,0.7228260869565217,0.9772727272727273,0.8045112781954887,0.2391304347826087,0.7228260869565217,25.444664031620555,8.1685191238967,17.276144907723857,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-4b_conflict_prediction_confthr_0p6.json
qwen3-8b,0.5,0.6,IC,0.75,0.5652173913043478,0.7121212121212122,0.5746268656716418,0.717391304347826,0.7282608695652174,14.690382081686437,0.9409474367294002,13.749434644957038,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p6.json
qwen3-8b,0.5,0.6,IC,0.5,0.5652173913043478,0.7865168539325843,0.5510204081632653,0.483695652173913,0.532608695652174,22.12994626282365,-1.419698314108253,23.549644576931904,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p6.json
qwen3-8b,0.5,0.6,IC,0.25,0.5652173913043478,0.8260869565217391,0.5510204081632653,0.25,0.532608695652174,26.086956521739136,-1.419698314108253,27.50665483584739,rerun,D:\Study\UIUC\Research\Uncertainty\results\conf_threshold_sensitivity\qwen3-8b_conflict_prediction_confthr_0p6.json
